 Mesh
 Dimension:            3
 Lx =    1.00000000     ; Ly =    1.00000000     ; Lz =    1.00000000    
 Nx =            3 ; Ny =            3 ; Nz =            3
 Nodes: 
 Vector           43 ; X:   0.833333373     ; Y:   0.333333343     ; Z:   0.500000000    
 Vector           44 ; X:   0.833333373     ; Y:   0.333333343     ; Z:   0.833333373    
 Vector           45 ; X:   0.833333373     ; Y:   0.333333343     ; Z:    1.00000000    
 Vector           46 ; X:    1.00000000     ; Y:   0.333333343     ; Z:    0.00000000    
 Vector           47 ; X:    1.00000000     ; Y:   0.333333343     ; Z:   0.166666672    
 Vector           48 ; X:    1.00000000     ; Y:   0.333333343     ; Z:   0.500000000    
 Vector           49 ; X:    1.00000000     ; Y:   0.333333343     ; Z:   0.833333373    
 Vector           50 ; X:    1.00000000     ; Y:   0.333333343     ; Z:    1.00000000    
 Vector           51 ; X:    0.00000000     ; Y:   0.666666687     ; Z:    0.00000000    
 Vector           52 ; X:    0.00000000     ; Y:   0.666666687     ; Z:   0.166666672    
 Vector           53 ; X:    0.00000000     ; Y:   0.666666687     ; Z:   0.500000000    
 Vector           54 ; X:    0.00000000     ; Y:   0.666666687     ; Z:   0.833333373    
 Vector           55 ; X:    0.00000000     ; Y:   0.666666687     ; Z:    1.00000000    
 Vector           56 ; X:   0.166666672     ; Y:   0.666666687     ; Z:    0.00000000    
 Vector           57 ; X:   0.166666672     ; Y:   0.666666687     ; Z:   0.166666672    
 Vector           58 ; X:   0.166666672     ; Y:   0.666666687     ; Z:   0.500000000    
 Vector           59 ; X:   0.166666672     ; Y:   0.666666687     ; Z:   0.833333373    
 Vector           60 ; X:   0.166666672     ; Y:   0.666666687     ; Z:    1.00000000    
 Vector           61 ; X:   0.500000000     ; Y:   0.666666687     ; Z:    0.00000000    
 Vector           62 ; X:   0.500000000     ; Y:   0.666666687     ; Z:   0.166666672    
 Vector           63 ; X:   0.500000000     ; Y:   0.666666687     ; Z:   0.500000000    
 Vector           64 ; X:   0.500000000     ; Y:   0.666666687     ; Z:   0.833333373    
